index_entry_id,assertion_id,index_kind,index_url,ordinal,label,state_abbr,year,expected_group_count,record_url,record_url_aliases,record_http_status,record_sha256,record_cache_path,has_link,linked_url_http_success,assertion_detail_http_status,has_successful_detail
iccra_idx_4a8daa32ae43afa8,iccra_9cc4ad27d48cc928,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,6,"San Francisco, San Francisco County (1992)",CA,1992,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20San%20Francisco,%20San%20Francisco%20County%20(1992).htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20San%20Francisco,%20San%20Francisco%20County%20(1992).htm",200,7cc577941af12fd541bef1570bd7e50ee0446b408e57ff7dcd64e84f36e80e88,data/raw/iccra_full/objects/17b1994fa361e4cfc95adece42e1797636b83d174270b8091303f00954c68c04.htm,True,True,200,True
iccra_idx_3c3962cc9a2fa18c,iccra_dd02d8b9c7d8ab8b,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,7,"[Unknown], (July, 1993)",CA,1993,25,https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Unknown%20Location%20(June%201993).html,https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Unknown%20Location%20(June%201993).html,200,17b463a40f958f18846506a31c8d46ccfe197f6783f5c7e2d47bb08cc3a9c3ae,data/raw/iccra_full/objects/3bffbce3e089eb5b3af4ec8ed505f6304eb2f5da6bd5c4ddf8423cbbd798b5b2.html,True,True,200,True
iccra_idx_9d80a6f113524848,iccra_008730d306407a5e,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,8,"Lompoc, Santa Barbara County (August 28, 1994)",CA,1994,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lompoc,%20Santa%20Barbara%20County%20(August%2024,%201994).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lompoc,%20Santa%20Barbara%20County%20(August%2024,%201994).html",200,7821abc9a34576cb6d2623281a8d8ae7a92a1443e7f8769cd29bb7c425d9ad01,data/raw/iccra_full/objects/4079ce341e8d54360de7386220db3be77c0fdab9217c220a80ee7dd7d0e35694.html,True,True,200,True
iccra_idx_76a193247050a6da,iccra_06f5c053e722361c,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,9,"Santa Rosa, Sonoma County (April 1995)",CA,1995,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Santa%20Rosa,%20Sonoma%20County%20(April%201995).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Santa%20Rosa,%20Sonoma%20County%20(April%201995).html",200,4a8175f00619253947cfa754949272ecd3c87f21fafcbfbc44cb07b4b35ef056,data/raw/iccra_full/objects/f205269997cd203a0bbc6ba99bb5884dcba1feb2c521dc8e0a8772bb4e42779c.html,True,True,200,True
iccra_idx_842c7100f2891dcc,iccra_a1eb408b98e9744d,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,10,"Laguna Canyon, Laguna Beach, Orange County (March 9, 1996)",CA,1996,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Laguna%20Canyon,%20Laguna%20Beach,%20Orange%20County%20(March%209,%201996).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Laguna%20Canyon,%20Laguna%20Beach,%20Orange%20County%20(March%209,%201996).html",200,2779db01b208fa54a206e2a22ecc8ba0342e253b66cd7e00b81caeb39203224e,data/raw/iccra_full/objects/79388e49c1e8c176d5da89ae89b3ce039b4c64aaa679652b1f324f2e0d7f02ac.html,True,True,200,True
iccra_idx_b2259713510a9843,iccra_3845748fc40428ad,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,11,"Vermont, Los Angeles County (June 4, 1996)",CA,1996,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Vermont,%20Los%20Angeles%20County%20(June%204,%201996).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Vermont,%20Los%20Angeles%20County%20(June%204,%201996).html",200,c12983e62e075b0671d56e64f3716e8e3951eb92e478f08f083b676f6f122d92,data/raw/iccra_full/objects/1a09ade9325f4eaf5ad528dc97e7ed970db2a0ebaab53b48aff39b6cde96b911.html,True,True,200,True
iccra_idx_eb0f275172858358,iccra_50c29cee919b3ebd,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,12,"Simi Valley, Ventura County (June 7, 1996)",CA,1996,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Simi%20Valley,%20Ventura%20County%20(June%207,%201996).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Simi%20Valley,%20Ventura%20County%20(June%207,%201996).html",200,23e9651279bb3714da6c90473dc70406a2f0313a2cf10c9456bf36180380c000,data/raw/iccra_full/objects/6a4dcb577715b463738a33bc7a6b6250b95a54b4aa281010f306340232d0cbeb.html,True,True,200,True
iccra_idx_9eec05d5713b0910,iccra_92f03fc2150363dc,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,13,"(Northeastern Modoc), Modoc County (June 25, 1996)",CA,1996,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20(Northeastern%20Modoc),%20Modoc%20County%20(June%2025,%201996).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20(Northeastern%20Modoc),%20Modoc%20County%20(June%2025,%201996).html",200,54167720bf4a552196f2ef2d4dafc5c55c02a1b54ccdad93912095ddb3e1f7f7,data/raw/iccra_full/objects/e740e244a387cb56dd314c20bfaa837b68440be188d4f9bb6690b40496d520ce.html,True,True,200,True
iccra_idx_ac69ac0be5ef9500,iccra_37930a68f655c4c6,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,14,"Gilroy, Santa Clara County (August 10, 1996)",CA,1996,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Gilroy,%20Santa%20Clara%20County%20(August%2010,%201996).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Gilroy,%20Santa%20Clara%20County%20(August%2010,%201996).html",200,3a7aa69c9278cbc8ffa553e3ea90a30f37a94e40719929ba2d9fb6ad87dbd021,data/raw/iccra_full/objects/e9108b5897f8ca67c7f83ff54e091d428ef4c63754bcb24487c83889f37832a0.html,True,True,200,True
iccra_idx_66a3997689b4c088,iccra_5789599008e9b41a,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,15,"Hermitt [Creek?], (January 1, 1997)",CA,1997,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Hermitt%20(January%201,%201997).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Hermitt%20(January%201,%201997).html",200,423b34c47d9beeadbf4dd5fa35ca9cfa27728ecbc223c6600a24ad896329d0b5,data/raw/iccra_full/objects/fdb47755de7ec9c258863b6af826be7389811ad77f79d258bc5b215efe22660d.html,True,True,200,True
iccra_idx_f3062e67007548a5,iccra_f3a6eb470d927433,by_state_page,https://iccra.org/bystate/California/ICCRA_CA.htm,16,"Mount Madonna / Watsonville, Santa Cruz County (March 18, 1997)",CA,1997,25,"https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Mount%20Madonna-Watsonville,%20Santa%20Cruz%20County%20(March%2018,%201997).html","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Mount%20Madonna-Watsonville,%20Santa%20Cruz%20County%20(March%2018,%201997).html",200,33b12717f7256de9781d6e58a9bef640a054827dcf63bfec47c39c9cf599a153,data/raw/iccra_full/objects/f27a74f769933ac45945b2371acd058bfcd1a947308f54cb347c0c603f9e0d2c.html,True,True,200,True
