candidate_id,assertion_id,source_name,source_page,source_slot,year,month,day,date_iso,place,region,country,country_code,crop_box_px,page_width_px,page_height_px,diagram_status,straight_component_tier,straight_component_candidate,detector_score,dominant_axis_image_deg,axis_uncertainty_deg,axis_candidates_image_deg,line_segment_count,max_segment_length_px,dominant_support_length_px,dominant_support_fraction,ink_pixels,mid_gray_pixels,dark_to_mid_ratio,dark_component_count,largest_dark_component_px,axis_reference,geographic_azimuth_qualified,caveat,detector_version,source_pdf_sha256
sc_5f07366eed6fc710,a_da3b72d6596e39,Crop Circle Center PDF catalog,2,3,1926,,,1926,Tisaren,Örebro län,Sweden,SE,"610,10,941,230",1241,1754,diagram,none,no,0.401,30.3,0.5,30.3;79.7;165.3,8,29.1,49.9,0.272,4174,4222,0.989,1,4174,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_b929a0a269f9772a,a_6f101ad8ae6992,Crop Circle Center PDF catalog,2,4,1927,7,28,1927-07-28,Chanctonbury,Kent,England,GB,"921,10,1241,230",1241,1754,diagram,none,no,0.304,59.5,0.0,59.5;118.8;72.0;13.9,8,30.9,30.9,0.145,4180,4216,0.991,1,4180,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_e83a72ab5c174800,a_ee03cc18e2aaee,Crop Circle Center PDF catalog,2,5,1927,,,1927,Fernvale,Victoria,Australia,AU,"0,340,320,560",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,668,2257,0.296,90,49,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_1eb16fa0c8ee77f4,a_66dd6716021f99,Crop Circle Center PDF catalog,2,6,1930,,,1930,Burghwallis,South Yorkshire,England,GB,"300,340,631,560",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,633,2250,0.281,76,36,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_ff0bde59b4ea2fc4,a_ae3a5cc67e88f6,Crop Circle Center PDF catalog,2,7,1930,,,1930,Donegal,Donegal,Ireland,IE,"610,340,941,560",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,638,2253,0.283,85,49,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_fd4fc554d6351724,a_a9ca7a5a880ace,Crop Circle Center PDF catalog,2,8,1930,,,1930,Westlands,Yorkshire,England,GB,"921,340,1241,560",1241,1754,diagram,none,no,0.396,75.2,0.2,75.2;116.1,8,27.3,52.5,0.273,4178,4223,0.989,1,4178,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_bd81a4901b54cdfb,a_b90779a79e74c6,Crop Circle Center PDF catalog,2,9,1932,,,1932,Chichester,West Sussex,England,GB,"0,670,320,890",1241,1754,diagram,low,yes,0.400,32.0,0.0,32.0;170.8,8,26.4,51.7,0.292,4184,4216,0.992,1,4184,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_a1b0946468936c0c,a_2c4199cf7c1ca2,Crop Circle Center PDF catalog,2,10,1932,,,1932,Manchester,New Hampshire,United States,US,"300,670,631,890",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,624,2248,0.278,77,36,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_0fc2b18e650eb150,a_3493940c5184ab,Crop Circle Center PDF catalog,2,11,1933,,,1933,,Noord-Brabant,Netherlands,NL,"610,670,941,890",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,638,2257,0.283,84,49,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_7d1e0d249dba0e14,a_aab57dfea8dfd5,Crop Circle Center PDF catalog,2,12,1934,7,,1934-07,Great Eversden,Cambridgeshire,England,GB,"921,670,1241,890",1241,1754,diagram,none,no,0.305,120.8,0.0,120.8;170.7;30.2,8,30.2,30.2,0.156,4179,4216,0.991,1,4179,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_ce87bc26f56156f7,a_2ff6df8856d592,Crop Circle Center PDF catalog,2,13,1935,,,1935,Helions Bumpstead,Essex,England,GB,"0,1000,320,1205",1241,1754,diagram,none,no,0.421,64.1,1.2,64.1;104.4;165.6;14.2,15,29.6,71.5,0.199,7674,7746,0.991,2,5156,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_afc5b2f4e8fc2c18,a_18922b91829b1a,Crop Circle Center PDF catalog,2,14,1936,,,1936,Aberystwyth,Dyfed,Wales,GB,"300,1000,631,1205",1241,1754,no_diagram,none,no,0.000,,,,0,0.0,0.0,0.000,622,2246,0.277,77,36,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
sc_9e8211060df6e7fc,a_a2dc0600a7be29,Crop Circle Center PDF catalog,2,15,1936,,,1936,Whiteparish,Wiltshire,England,GB,"610,1000,941,1205",1241,1754,diagram,none,no,0.390,76.0,0.8,76.0;34.0,6,21.5,38.8,0.336,2689,4340,0.620,86,2053,image x-axis; 0=right; clockwise; modulo 180,no,diagram-space axis only; not a true-north azimuth,straight-components-v1.0.0,f51718f1eeb1c3f06f3a154d02eb7ab24dcefebb201e3ace04c6e8f79dcc65e7
