candidate_id,image_link_id,assertion_ids,source_page_url,image_url,image_sha256,image_kind,inventory_http_status,public_redistribution_status,analysis_status,analysis_width_px,analysis_height_px,analysis_scale_factor,detector_score,straight_component_tier,straight_component_candidate,dominant_axis_image_deg,axis_uncertainty_deg,axis_candidates_image_deg,raw_line_segment_count,qualifying_line_segment_count,border_segment_rejection_count,dominant_cluster_segment_count,max_segment_length_px,max_segment_length_normalized,dominant_support_length_px,dominant_support_normalized,dominant_support_fraction,qualifying_lines_per_megapixel,axis_reference,geographic_azimuth_qualified,detector_version,rights_safe_output,caveat
isc_1404c129e4778782,iccra_img_483c781b94f5d601,,https://iccra.org/bystate/Oregon/ICCRA_OR.htm,https://iccra.org/bystate/Michigan/images/map_key.jpg,c28b14676c190c476e3dd0ab369bdd73add30e7ef6d9069876a0bb3931251ac8,map_or_aerial,200,not_cleared,analyzed_private_cache,128,45,1.000000,0.840,high,yes_review_candidate,179.6,0.8,179.6,39,13,1,12,48.8,1.084,290.6,6.457,0.966,1300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_39500db59b893137,iccra_img_fcf89d52cf935ead,,https://iccra.org/bystate/Oregon/ICCRA_OR.htm,https://iccra.org/bystate/Ohio/images/miamisburg.JPG,00916643ba5ad32a263adbfd6a2a106053a2bd60037010aa38b887fb53713b2e,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,79,114,1.000000,0.353,none,no_review_candidate,128.0,3.2,128.0;92.9;32.9;151.8,45,23,0,3,25.5,0.323,55.1,0.697,0.146,2300.000,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_b96449061233a608,iccra_img_5d9b68361926e9e8,iccra_61556180c9e9b3fd,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20Carmichaels,%20Greene%20County%20(June%2025,%202005).html",https://iccra.org/bystate/Pennsylvania/images/carmichaels2005a.jpg,fef74d3ad0bc40ff360c6b3f865d8ff09279f657cec8b9d665e5bd4ee907a9df,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,630,472,1.000000,0.646,low,yes_review_candidate,12.2,2.7,12.2;0.3,1095,39,0,24,104.7,0.222,1317.6,2.792,0.639,131.154,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_c42b23b489248b31,iccra_img_5b3c21a3ff3e3b6a,iccra_61556180c9e9b3fd,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20Carmichaels,%20Greene%20County%20(June%2025,%202005).html",https://iccra.org/bystate/Pennsylvania/images/carmichaels2005b.jpg,db043bd1b7c58cb48539e4a1d5ec92e6176c57b55381646e1ef8a8391a220746,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,431,287,1.000000,0.356,none,no_review_candidate,42.0,0.0,,723,1,0,1,22.0,0.077,22.0,0.077,1.000,8.084,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_f7040dc3b13802ee,iccra_img_871941a6f644c76b,iccra_61556180c9e9b3fd,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20Carmichaels,%20Greene%20County%20(June%2025,%202005).html",https://iccra.org/bystate/Pennsylvania/images/carmichaels2005c.jpg,19e5a14aa302c4542ed6a66c016a58c3adfa7a928f56577c6d3a2e4fa09228fa,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,431,291,1.000000,0.635,low,yes_review_candidate,157.2,2.6,157.2;139.0;178.3;88.5,701,32,0,13,60.0,0.206,431.2,1.482,0.449,255.141,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_2d2691d25097d192,iccra_img_9e7db1453cee3329,iccra_325fb8ec1b27ca93,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20Chicora,%20Butler%20County%20(August%2025,%201990).htm",https://iccra.org/bystate/Pennsylvania/images/Chicora.jpg,1a7c29874ec644822944456adb5d86c14a3cedf6639dfaa733d9a5f6d457858c,diagram,200,not_cleared,analyzed_private_cache,261,157,1.000000,0.598,low,yes_review_candidate,27.1,2.3,27.1;86.5;153.1;176.4,51,43,0,7,111.4,0.709,169.6,1.080,0.144,1049.369,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_7ee7b08a93d962ac,iccra_img_6ccfd2f9de753f29,iccra_94c89f39aeb2b5f5,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20Finleyville,%20Washington%20County%20(May%2017,%201990).htm",https://iccra.org/bystate/Pennsylvania/images/Finleyville.jpg,6f50cba1cb444ceba5b19657db548141763e1493542928de559b311b0f1226c9,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,141,140,1.000000,0.356,none,no_review_candidate,63.8,3.1,63.8;4.9;111.3;23.7,73,67,0,5,35.8,0.256,142.9,1.021,0.093,3394.124,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_7522462be37da0e1,iccra_img_643d5897044673aa,iccra_79a857fa2988fdb9,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20Harrisburg-Manor%20Hill,%20Huntington%20County%20(June%2015,%201967).htm","https://iccra.org/bystate/Pennsylvania/images/Harrisburg,%20PA%201967-1_web.jpg",835554f2c78ebd6d4fbc67f662ecd32c24fede83a78e47058802784b6a4c2db7,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,630,429,1.000000,0.423,none,no_review_candidate,95.5,2.2,95.5,1680,4,2,2,50.2,0.117,84.2,0.196,0.525,14.800,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_cfb42c0d3d030f60,iccra_img_6e21a992ff2e3a90,iccra_dae0beb35c628020,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20Lancaster%20County%20(May%2025,%202003).html",https://iccra.org/bystate/Pennsylvania/images/lancaster2003.jpg,bbbc091de2c469d4c5807022ec304b4a808506d6924baa47db6594a7ad37b15f,photograph_or_unspecified,200,not_cleared,analyzed_private_cache,320,240,1.000000,0.808,medium,yes_review_candidate,0.5,1.9,0.5;84.0;34.9;106.1,212,14,0,6,120.1,0.500,325.7,1.357,0.640,182.292,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
isc_d512e67d78e49a4c,iccra_img_a44f2f0fedb7813b,iccra_792acf74ac203b14,"https://iccra.org/bystate/Pennsylvania/ICCRA%20-%20PA%20-%20Linfield,%20Montgomery%20County%20(May%2024,%201992).htm",https://iccra.org/bystate/Pennsylvania/images/Chicora.jpg,1a7c29874ec644822944456adb5d86c14a3cedf6639dfaa733d9a5f6d457858c,diagram,200,not_cleared,analyzed_private_cache,261,157,1.000000,0.598,low,yes_review_candidate,27.1,2.3,27.1;86.5;153.1;176.4,51,43,0,7,111.4,0.709,169.6,1.080,0.144,1049.369,image x-axis; 0=right; clockwise; modulo 180,false,iccra-source-image-straight-v1.0.0,metadata_only_no_source_or_derived_pixels,automated ICCRA source-image review candidate only; image-space axis; not human-validated; not a true-north azimuth; source rights not cleared
