"discovered_from","url","role","anchor_text"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Cordelia-Fairfield,%20Solano%20County%20(July%2016,%202004).html","formation_detail","Cordelia / Fairfield, Solano County (July 16, 2004)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Fairfield,%20Solano%20County%20(July%2011,%202003).html","formation_detail","Fairfield, Solano County (July 11, 2003"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Fresno,%20Fresno%20County%20(August%2011,%202002.html","formation_detail","Fresno, Fresno County (August 11, 2002)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Gilroy,%20Santa%20Clara%20County%20(August%2010,%201996).html","formation_detail","Gilroy, Santa Clara County (August 10, 1996)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Greenfield,%20Monterey%20County-Bakersfield,%20Kern%20County%20(June%2022,%202010).html","formation_detail","Greenfield, Monterey County/ Bakersfield, Kern County (June 22, 2010)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Hermitt%20(January%201,%201997).html","formation_detail","Hermitt [Creek?], (January 1, 1997)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Hidden%20Valley%20Lake,%20Lake%20County%20(May%2017,%202010).html","formation_detail","Hidden Valley Lake, Lake County (May 17, 2010)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Laguna%20Canyon,%20Laguna%20Beach,%20Orange%20County%20(March%209,%201996).html","formation_detail","Laguna Canyon, Laguna Beach, Orange County (March 9, 1996)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lake%20Port,%20Lake%20County%20(1976).htm","formation_detail","Lake Port, Lake County (1976)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lemon%20Grove,%20San%20Diego%20County%20(November%2016,%201973).htm","formation_detail","Lemon Grove, San Diego County (November 16, 1973)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Lompoc,%20Santa%20Barbara%20County%20(August%2024,%201994).html","formation_detail","Lompoc, Santa Barbara County (August 28, 1994)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Madera,%20Madera%20County%20(March%2023,%202000).html","formation_detail","Madera, Madera County (March 27, 2000)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Mount%20Madonna-Watsonville,%20Santa%20Cruz%20County%20(March%2018,%201997).html","formation_detail","Mount Madonna / Watsonville, Santa Cruz County (March 18, 1997)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Mt%20Palomar%20Observatory,%20San%20Diego%20County%20(Summer%201955).htm","formation_detail","Mt. Palomar Observatory, Palomar Mountain, Cleveland National Forest, San Diego County (1955)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Point%20Dume%20State%20Preserve,%20Malibu,%20Los%20Angeles%20County%20(1973).htm","formation_detail","Point Dume State Preserve, Malibu, Los Angeles County (1973)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(1),%20Solano%20County%20(June%2028,%202003).html","formation_detail","Rockville (1), Solano County (June 28, 2003)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Rockville%20(2),%20Solano%20County%20(June%2028,%202003).html","formation_detail","Rockville (2), Solano County (June 28, 2003)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20San%20Francisco,%20San%20Francisco%20County%20(1992).htm","formation_detail","San Francisco, San Francisco County (1992)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Santa%20Maria,%20Santa%20Barbara%20County%20(April%2016,%202001).html","formation_detail","Santa Maria, Santa Barbara County (April 16, 2001)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Santa%20Rosa,%20Sonoma%20County%20(April%201995).html","formation_detail","Santa Rosa, Sonoma County (April 1995)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Simi%20Valley,%20Ventura%20County%20(June%207,%201996).html","formation_detail","(June 7, 1996)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Simi%20Valley,%20Ventura%20County%20(June%207,%201996).html","formation_detail","Simi Valley, Ventura County"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Unknown%20Location%20(June%201993).html","formation_detail","[Unknown], (July, 1993)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Vacaville,%20Solano%20County%20(July%208,%202003).html","formation_detail","Vacaville, Solano County (July 8, 2003)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/ICCRA%20-%20CA%20-%20Vermont,%20Los%20Angeles%20County%20(June%204,%201996).html","formation_detail","Vermont, Los Angeles County (June 4, 1996)"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/California/images/map_key.jpg","archive_image","embedded:"
"https://iccra.org/bystate/California/ICCRA_CA.htm","https://iccra.org/bystate/Ohio/images/miamisburg.JPG","archive_image","embedded:"
"https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20%5BNorthern%5D%20(August%2018,%202005).html","https://iccra.org/bystate/Colorado/images/northern2005.jpg","formation_image","embedded: field"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20%5BNorthern%5D%20(August%2018,%202005).html","formation_detail","[Northern] (August 18, 2005)"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20Antonito,%20San%20Luis%20Valley-Crestone,%20Conejos%20County%20(September%2023,%201996).html","formation_detail","Antonito, San Luis Valley / Crestone, Conejos County (September 23, 1996)"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20Boulder,%20Boulder%20County%20(October%204,%202000).html","formation_detail","Boulder, Boulder County (October 4, 2000)"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20Delta,%20Delta%20County%20(August%2012,%201996).html","formation_detail","Delta, Delta County (August 12, 1996)"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20Hartman,%20Prowers%20County%20(June%204,%201996).html","formation_detail","Hartman, Prowers County (Heartland?) (June 4, 1996)"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20Kings%20Ranch,%20Alamosa,%20Alamosa%20County%20(September%209,%201967).htm","formation_detail","Alamosa County (September 9, 1967)"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20Kings%20Ranch,%20Alamosa,%20Alamosa%20County%20(September%209,%201967).htm","formation_detail","King’s Ranch, Alamosa,"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20La%20Veta,%20Huerfanol%20County%20(October%201994).html","formation_detail","La Veta, Huerfanol County (October, 1994)"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20Pueblo,%20Pueblo%20County%20(October%209,%201972).htm","formation_detail","Pueblo, Pueblo County (September 9, 1972)"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Michigan/images/map_key.jpg","archive_image","embedded:"
"https://iccra.org/bystate/Colorado/ICCRA_CO.htm","https://iccra.org/bystate/Ohio/images/miamisburg.JPG","archive_image","embedded:"
"https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20East%20Haven,%20New%20Haven%20County%20(June%2011,%202002).html","https://iccra.org/bystate/Connecticut/images/easthaven2002.jpg","formation_image","embedded: diagram"
"https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20New%20Milford,%20Litchfield%20County%20(July%2014,%202004).html","https://iccra.org/bystate/Connecticut/images/newmilford2004a.jpg","formation_image","embedded: diagram"
"https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20New%20Milford,%20Litchfield%20County%20(July%2014,%202004).html","https://iccra.org/bystate/Connecticut/images/newmilford2004b.jpg","formation_image","embedded: diagram"
"https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Norwalk,%20Fairfield%20County%20(March%2011,%202003).html","https://iccra.org/bystate/Connecticut/images/norwalk2003.jpg","formation_image","embedded: diagram"
"https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Southbury,%20New%20Haven%20County%20(August%2015,%201967).htm","https://iccra.org/bystate/Connecticut/images/SouthburyFormation.jpg","formation_image","embedded: Southbury CT Formation"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Bethel,%20Fairfield%20County%20(Fall%201956).htm","formation_detail","Bethel, Fairfield County (Fall, 1956)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Bethel,%20Fairfield%20County%20(June%2025,%201967).htm","formation_detail",""
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Bethel,%20Fairfield%20County%20(June%2025,%201967).htm","formation_detail","Bethel, Fairfield County (June 25, 1967)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Coventry,%20Tolland%20County%20(May%207,%201967).htm","formation_detail","Coventry, Tolland County (May 7, 1967)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Danbury,%20Fairfield%20County%20(July%202,%201967).htm","formation_detail","Danbury, Fairfield County (July 2, 1967)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20East%20Haven,%20New%20Haven%20County%20(June%2011,%202002).html","formation_detail","East Haven, New Haven County (June 11, 2002)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Hamden,%20New%20Haven%20County%20(July%201995).html","formation_detail","Hamden, New Haven County (July 1995)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20New%20Milford,%20Litchfield%20County%20(July%2014,%202004).html","formation_detail","New Milford, Litchfield County (July 14, 2004)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Norwalk,%20Fairfield%20County%20(March%2011,%202003).html","formation_detail","Norwalk, Fairfield County (March 11, 2003)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Ridgefield,%20Fairfield%20County%20(April%203,%202001).html","formation_detail","Ridgefield, Fairfield County (April 3, 2001)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Southbury,%20New%20Haven%20County%20(August%2015,%201967).htm","formation_detail","Southbury, New Haven County (August 15, 1967)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Connecticut/ICCRA%20-%20CT%20-%20Stony%20Creek-Branford,%20New%20Haven%20County%20(July%201996).html","formation_detail","Stony Creek / Branford, New Haven County (July 1996)"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Michigan/images/map_key.jpg","archive_image","embedded:"
"https://iccra.org/bystate/Connecticut/ICCRA_CT.htm","https://iccra.org/bystate/Ohio/images/miamisburg.JPG","archive_image","embedded:"
"https://iccra.org/bystate/Delaware/ICCRA_DE.htm","https://iccra.org/bystate/Delaware/ICCRA%20-%20DE%20-%20Newark,%20New%20Castle%20County%20(May%2029,%201997).html","formation_detail","Newark, New Castle County (May 29, 1997)"
"https://iccra.org/bystate/Delaware/ICCRA_DE.htm","https://iccra.org/bystate/Michigan/images/map_key.jpg","archive_image","embedded:"
"https://iccra.org/bystate/Delaware/ICCRA_DE.htm","https://iccra.org/bystate/Ohio/images/miamisburg.JPG","archive_image","embedded:"
"https://iccra.org/bystate/Florida/ICCRA%20-%20FL%20-%20Gulf%20Breeze,%20Santa%20Rosa%20County%20(February%2028,%201990).htm","https://iccra.org/bystate/Florida/images/GulfBreeze1990.jpg","formation_image","embedded: Golf Breeze Feb 1990"
"https://iccra.org/bystate/Florida/ICCRA%20-%20FL%20-%20Gulf%20Breeze,%20Santa%20Rosa%20County%20(November,%201990).htm","https://iccra.org/bystate/Florida/images/GulfBreeze1990.jpg","formation_image","embedded: Golf Breeze Feb 1990"
"https://iccra.org/bystate/Florida/ICCRA%20-%20FL%20-%20Gulf%20Breeze-South%20Shoreline%20Park,%20Santa%20Rosa%20County%20(November%2015,%201989).htm","https://iccra.org/bystate/Florida/images/GulfBreeze1.jpg","formation_image","embedded: Gulf Breeze FL Formation"
"https://iccra.org/bystate/Florida/ICCRA%20-%20FL%20-%20Gulf%20Breeze-South%20Shoreline%20Park,%20Santa%20Rosa%20County%20(November%2015,%201989).htm","https://iccra.org/bystate/Florida/images/GulfBreeze2.jpg","formation_image","embedded: Gulf Breeze FL Formation"
